Unified App,Unified App Name,Market,Market Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,Start Date,End Date,Country/Region (from filter),Downloads,Cumulative Downloads,Revenue,Cumulative Revenue,RPD,Usage Penetration,Active Users,Install Penetration,Install Base,Open Rate,Avg Sessions / User,Avg Session Duration,Avg Time / User,Total Time,Avg Active Days,% Active Days,Share of Category Time,Avg MB / User,Avg MB / Session,Paid Downloads,Organic Downloads,% Paid Downloads,% Organic Downloads,Cumulative Avg Ratings,Cumulative Total Ratings,Incremental Avg Ratings,Incremental Total Ratings,Cumulative Favorable %,Cumulative Critical %,Incremental Favorable %,Incremental Critical %
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2016-12-01,2016-12-31,Chile,2215,30320,,,,,,,,,,,,,,,,,,0,2215,0.00%,100.00%,1.85,34,0.00,0,14.71%,76.47%,0.00%,0.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-01-01,2017-01-31,Chile,1642,31962,,,,,,,,,,,,,,,,,,0,1642,0.00%,100.00%,1.83,35,1.00,1,14.29%,77.14%,0.00%,100.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-02-01,2017-02-28,Chile,1619,33581,,,,,,,,,,,,,,,,,,0,1619,0.00%,100.00%,1.84,37,2.00,2,13.51%,75.68%,0.00%,50.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-03-01,2017-03-31,Chile,1887,35468,,,,,,,,,,,,,,,,,,0,1887,0.00%,100.00%,1.79,39,1.00,2,12.82%,76.92%,0.00%,100.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-04-01,2017-04-30,Chile,1973,37441,,,,,,,,,,,,,,,,,,0,1973,0.00%,100.00%,1.77,40,1.00,1,12.50%,77.50%,0.00%,100.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-05-01,2017-05-31,Chile,2405,39846,,,,,,,,,,,,,,,,,,0,2405,0.00%,100.00%,1.74,42,1.00,2,11.90%,78.57%,0.00%,100.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-06-01,2017-06-30,Chile,2368,42214,,,,,,,,,,,,,,,,,,0,2368,0.00%,100.00%,1.72,43,1.00,1,11.63%,79.07%,0.00%,100.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-07-01,2017-07-31,Chile,2848,45062,,,,,,,,,,,,,,,,,,0,2848,0.00%,100.00%,1.71,44,1.00,1,11.36%,79.55%,0.00%,100.00%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-08-01,2017-08-31,Chile,3263,48325,,,,0.69%,83007,1.16%,139077,59.68%,21.91,00:00:15,00:05:30,457796,5.73,18.48%,0.37%,9.02,0.41,0,3263,0.00%,100.00%,1.75,47,2.33,3,12.77%,78.72%,33.33%,66.67%
1000600000511639,Mercado Pago,all,All Markets,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,2017-09-01,2017-09-30,Chile,3406,51731,,,,,,,,,,,,,,,,,,0,3406,0.00%,100.00%,1.70,50,1.00,3,12.00%,80.00%,0.00%,100.00%
