End Date;Downloads;Cumulative Downloads;Usage Penetration;Active Users;Install Penetration;Install Base;Open Rate;Avg Sessions / User;Avg Session Duration;Avg Time / User;Total Time;Avg Active Days;% Active Days;Share of Category Time;Avg MB / User;Avg MB / Session;Paid Downloads;Organic Downloads;% Paid Downloads;% Organic Downloads;Cumulative Avg Ratings;Cumulative Total Ratings;Incremental Avg Ratings;Incremental Total Ratings;Cumulative Favorable %;Cumulative Critical %;Incremental Favorable %;Incremental Critical %
dic-16;47142;702768;4,32%;672155;8,42%;1308654;51,36%;13,39;00:00:21;00:04:45;2907689;3,89;12,54%;2,62%;1,83;0,14;0;47142;0,00%;100,00%;4,49;623;3,22;23;88,28%;8,83%;52,17%;43,48%
ene-17;39841;742609;3,55%;779178;7,88%;1728136;45,09%;11,18;00:00:37;00:06:57;4991710;3,61;11,65%;3,16%;1,65;0,15;0;39841;0,00%;100,00%;4,47;647;3,88;24;87,64%;9,43%;70,83%;25,00%
feb-17;35426;778035;3,97%;885366;8,30%;1852387;47,80%;11,36;00:00:26;00:04:55;4024722;3,85;13,74%;3,07%;1,59;0,14;0;35426;0,00%;100,00%;4,45;674;4,04;27;86,94%;9,64%;70,37%;14,81%
mar-17;38416;816451;4,79%;1086838;8,64%;1960375;55,44%;10,64;00:00:25;00:04:26;4468796;3,56;11,47%;2,75%;1,57;0,15;0;38416;0,00%;100,00%;4,45;690;4,25;16;86,67%;9,71%;75,00%;12,50%
abr-17;42517;858968;4,40%;1016077;8,74%;2016194;50,40%;11,24;00:00:34;00:06:22;5891717;3,58;11,92%;4,00%;2,38;0,21;0;42517;0,00%;100,00%;4,43;726;4,19;36;86,23%;10,19%;77,78%;19,44%
may-17;48652;907620;4,91%;1150551;9,15%;2146116;53,61%;12,31;00:00:28;00:05:45;6027144;3,77;12,15%;3,91%;2,02;0,16;0;48652;0,00%;100,00%;4,43;777;4,45;51;86,23%;10,30%;86,27%;11,76%
jun-17;46013;953633;5,03%;1197391;9,58%;2281408;52,48%;11,35;00:00:33;00:06:18;6889695;4,08;13,59%;4,20%;3,13;0,28;0;46013;0,00%;100,00%;4,42;853;4,32;76;85,93%;10,67%;82,89%;14,47%
jul-17;56756;1010389;5,11%;1236767;9,73%;2353434;52,55%;12,87;00:00:30;00:06:38;7554792;4,03;13,02%;4,09%;4,33;0,34;0;56756;0,00%;100,00%;4,46;1158;4,57;305;87,13%;9,50%;90,49%;6,23%
ago-17;59826;1070215;5,95%;1460237;10,15%;2492194;58,59%;12,16;00:00:28;00:05:44;7787404;3,73;12,04%;3,95%;4,38;0,36;0;59826;0,00%;100,00%;4,47;1465;4,51;307;87,03%;9,35%;86,65%;8,80%
sept-17;57204;1127419;5,97%;1489152;11,01%;2745201;54,25%;14,06;00:00:26;00:06:19;8718504;4,37;14,57%;3,92%;4,43;0,32;0;57204;0,00%;100,00%;4,50;1782;4,61;317;87,77%;8,98%;91,17%;7,26%
oct-17;63294;1190713;6,34%;1603681;11,02%;2785851;57,57%;13,32;00:00:30;00:06:40;9961533;4,15;13,37%;4,55%;5,25;0,39;0;63294;0,00%;100,00%;4,49;2314;4,48;532;87,34%;9,07%;85,90%;9,40%
nov-17;64296;1255009;6,88%;1765742;11,88%;3046828;57,95%;13,65;00:00:27;00:06:18;10415661;4,49;14,96%;4,70%;5,20;0,38;0;64296;0,00%;100,00%;4,61;5446;4,69;3132;90,47%;5,69%;92,78%;3,19%
dic-17;235964;1490973;10,91%;2832254;15,85%;4114574;68,83%;13,72;00:00:34;00:07:54;21513195;3,69;11,91%;7,09%;5,98;0,44;0;235964;0,00%;100,00%;4,65;12320;4,68;6874;91,97%;4,09%;93,16%;2,82%
ene-18;127300;1618273;7,32%;1930061;13,97%;3682883;52,41%;11,88;00:00:35;00:07:05;12572840;3,84;12,38%;;6,32;0,53;0;127300;0,00%;100,00%;4,66;17812;4,67;5492;92,31%;3,54%;93,08%;2,29%
feb-18;106512;1724785;7,93%;2118186;14,56%;3890523;54,44%;13,06;00:00:37;00:08:14;16024047;4,03;14,38%;;4,40;0,34;0;106512;0,00%;100,00%;4,66;20871;4,68;3059;92,42%;3,45%;93,04%;2,91%
mar-18;119802;1844587;8,87%;2401615;15,57%;4214101;56,99%;14,81;00:00:35;00:08:39;19239385;4,14;13,35%;;6,51;0,44;0;119802;0,00%;100,00%;4,66;22624;4,65;1753;92,42%;3,47%;92,47%;3,71%
abr-18;167702;2012289;10,66%;2923054;16,39%;4493362;65,05%;16,41;00:00:34;00:09:24;25532221;4,65;15,50%;;9,60;0,59;0;167702;0,00%;100,00%;4,66;27230;4,69;4606;92,51%;3,33%;92,92%;2,67%
may-18;196197;2208486;11,17%;3101415;16,88%;4686060;66,18%;18,04;00:00:35;00:10:36;30493568;4,98;16,06%;;9,55;0,53;0;196197;0,00%;100,00%;4,68;31991;4,75;4761;92,87%;3,13%;94,96%;1,97%
jun-18;188127;2396613;12,09%;3373706;17,98%;5018123;67,23%;14,63;00:00:37;00:09:15;29941665;4,61;15,37%;;8,27;0,57;0;188127;0,00%;100,00%;4,69;37873;4,74;5882;93,15%;2,90%;94,64%;1,65%
jul-18;184564;2581177;12,63%;3567180;18,38%;5189381;68,74%;15,06;00:00:40;00:10:13;35087599;4,81;15,52%;;5,67;0,38;0;184564;0,00%;100,00%;4,70;44644;4,75;6939;93,40%;2,75%;94,83%;1,87%
ago-18;186236;2767413;13,43%;3836921;19,90%;5684138;67,50%;17,00;00:00:36;00:10:17;38042444;5,02;16,19%;;4,79;0,28;0;186236;0,00%;100,00%;4,70;51418;4,74;6774;93,51%;2,68%;94,27%;2,24%
sept-18;172251;2939664;12,82%;3702378;20,24%;5846160;63,33%;15,78;00:00:41;00:10:56;38887375;4,84;16,14%;;3,80;0,24;0;172251;0,00%;100,00%;4,71;56850;4,73;5432;93,60%;2,69%;94,44%;2,76%
oct-18;241735;3181399;14,78%;4317395;22,08%;6446956;66,97%;18,57;00:00:36;00:11:26;47604918;5,25;16,93%;;4,34;0,23;0;241735;0,00%;100,00%;4,71;60753;4,73;3903;93,63%;2,70%;94,06%;2,82%
nov-18;232807;3414206;15,27%;4484447;23,67%;6948614;64,54%;18,71;00:00:37;00:11:47;50888205;5,58;18,59%;;4,26;0,23;0;232807;0,00%;100,00%;4,71;69720;4,74;8967;93,69%;2,67%;94,08%;2,50%
dic-18;248777;3662983;17,34%;5117911;25,28%;7462752;68,58%;20,53;00:00:37;00:12:53;63458651;5,70;18,38%;;4,26;0,21;0;248777;0,00%;100,00%;4,72;77404;4,78;7684;93,84%;2,60%;95,21%;1,91%
ene-19;382636;4045619;18,15%;5385050;26,62%;7899723;68,17%;22,82;00:00:36;00:13:58;72304697;6,08;19,62%;;4,28;0,19;0;382636;0,00%;100,00%;4,73;86648;4,80;9244;94,07%;2,50%;95,98%;1,70%
